Event year,landslide category,landslide trigger,landslide size,fatality_count,injury_count,longitude (decimal degrees),latitude (decimal degrees)
2008,1,10,300,11,0,107.45,32.5625
2009,2,30,100,0,0,-122.663,45.42
2007,1,30,300,10,0,-75.3587,-11.1295
2012,1,30,200,0,0,124.9668,10.7004
2012,2,30,100,0,0,-117.2665,48.2797
2007,2,10,200,0,0,-114.4194,43.6846
2009,2,10,100,0,0,-122.0704,45.377
2017,1,30,100,0,0,105.5299971,23.14383048
2009,1,30,200,0,1,124.0419,12.5655
2009,2,10,100,0,0,-122.67,45.521
2009,1,10,100,0,0,-83.071,35.507
2009,1,10,100,0,0,-122.893,46.11
2009,2,10,100,0,0,-122.334,47.432
2009,1,30,200,0,0,-121.75,48.538
2009,2,10,100,0,0,-122.2,48.72
2009,2,10,100,0,0,-122.037,48.929
2009,1,30,200,6,0,5.765,36.7946
2009,2,10,100,0,0,-122.2072,47.7573
2009,1,10,200,0,0,110.3442,1.531
2009,1,10,200,4,0,116.662,-8.5073
2009,1,30,200,7,0,-13.2287,8.4841
2009,1,30,200,2,0,115.0668,5.031
2009,1,30,200,2,0,-99.1276,19.4271
2009,2,30,200,2,0,14.252,40.8403
2009,1,30,200,0,0,88.2788,26.8826
2009,2,10,100,0,0,-118.05,34.162
2009,1,30,200,0,0,88.3143,26.8572
2009,1,30,200,2,0,123.226,9.29
2009,1,30,200,2,0,121.56,14.545
2009,2,30,100,0,0,-79.4305,37.9137
2009,1,30,200,6,0,131.5729,34.0496
2017,2,10,100,0,0,-83.712126,36.770029
2009,1,30,200,2,0,132.4592,34.3852
2009,1,30,200,6,0,103.5868,31.483
2009,1,30,200,0,0,88.527,27.478
2009,2,30,200,0,0,-132.7269,56.5561
2009,2,30,200,0,0,-132.7348,56.5692
2009,2,30,200,0,0,-132.5617,56.5787
2009,2,30,100,0,0,-122.5562,47.2846
2009,1,30,200,0,0,109.9187,-7.571
2017,1,30,100,0,0,104.4530851,22.69040325
2009,2,30,100,0,0,-85.3697,35.0672
2009,2,30,100,0,0,-85.3361,35.1052
2010,2,30,300,22,28,-44.32249842,-23.01374445
2010,1,30,200,0,0,-43.07409842,-22.89234445
2010,1,30,200,0,0,94.48214677,25.3098633
2010,1,30,200,0,0,74.8609,36.6567
2011,1,10,200,1,0,79.6367,29.7334
2007,1,10,200,2,0,74.3333,33.8778
2011,2,30,100,0,0,-73.0562,44.9378
2011,1,30,200,0,0,78.7963,30.7666
2011,1,30,200,2,0,83.5754,27.7394
2013,1,10,200,0,0,123.8725,10.335
2011,1,30,200,0,0,83.2934,28.3683
2011,1,30,200,0,0,83.2934,28.0889
2011,1,30,200,0,0,78.5925,30.7652
2011,1,30,200,0,0,79.0685,30.7331
2011,1,30,200,0,0,78.4129,31.0188
2017,1,10,100,0,0,120.9613282,16.77787239
2011,2,30,200,0,0,-36.9541,-8.8137
2012,1,30,200,0,0,123.92,10.39
2011,2,30,200,1,0,-34.8813,-8.0543
2011,1,10,200,1,0,79.3318,30.4043
2017,1,10,200,0,0,84.54704621,27.83196401
2012,1,30,200,0,0,124.9705,10.6073
2009,2,30,100,0,0,-122.8001,49.0229
2011,2,10,100,0,0,-107.1291,39.4274
2011,2,10,100,0,0,-107.2225,39.4977
2011,1,30,200,7,0,82.6474,28.3875
2016,1,10,300,0,0,94.514651,26.324724
2012,1,30,200,0,0,123.89,10.37
2012,1,30,200,0,0,123.91,10.42
2016,1,10,300,0,0,88.492,27.593
2012,1,30,300,0,0,-124.01,42.9744
2012,1,30,200,0,0,77.1029,31.0226
2012,1,30,300,20,0,88.556,27.8385
2012,1,30,300,0,0,88.605,27.6558
2012,1,30,200,0,0,-0.9992,5.5779
2012,1,10,200,0,0,-60.55,11.3169
2017,1,10,200,1,0,91.92597729,21.61900923
2013,1,30,200,0,0,-79.8897,9.3381
2013,1,30,200,0,0,-79.9029,9.3581
2013,1,10,200,0,0,78.3881,30.4954
2013,1,10,200,0,0,78.6695,30.885
2013,1,10,200,0,0,80.417,29.7986
2013,2,30,200,0,0,-116.9044,50.0023
2016,1,10,300,0,0,94.257523,26.092493
2013,1,30,200,0,0,77.5947,10.9628
2013,1,30,200,0,0,77.5947,10.9628
2013,2,10,200,0,0,93.9413,25.7658
2013,2,10,200,0,0,94.0885,25.7131
2013,1,10,200,0,0,123.888,10.329
2017,1,20,300,33,0,91.83258101,22.35037081
2013,1,10,200,1,1,12.3966,47.446
2015,1,10,200,0,0,-117.0898,32.5196
2016,1,30,300,0,0,112.61191,-8.034706
2016,1,10,300,4,2,84.069015,28.145796
2017,1,20,200,0,0,106.7121322,-6.522155904
2017,1,30,100,0,0,94.24416766,26.1445447
2017,1,20,200,1,0,92.10434768,21.23699085
2017,1,20,200,1,0,91.87202793,26.20450454
2017,1,20,100,0,0,92.03513581,22.77997113
2016,1,10,300,4,10,87.640957,27.513641
2017,1,20,100,0,0,94.12901274,25.4976444
2017,1,30,200,2,0,105.4244893,23.16100191
2016,1,30,300,0,0,85.201673,27.833565
2017,1,20,200,1,0,91.92053028,26.22247247
2016,1,10,200,0,0,83.498645,28.377188
2017,1,30,100,0,0,91.85158907,26.1061808
2017,1,30,100,0,0,91.86227824,26.10430759
2017,1,20,300,105,0,92.22099982,22.74955141
2017,1,30,100,0,0,105.1593663,22.77992936
2016,1,10,300,11,0,-90.604924,14.521881
2017,1,30,200,2,0,91.91261915,22.80452414
