x data,y data,,Historical Model,,,
0.44,5.64,974.6884,5.6352,2.304E-05,,
2.02,10.22,709.6896,11.6866,2.15091556,,0.900945161
2.8,19.52,300.6756,14.674,23.483716,,
4.69,23.2,186.5956,21.9127,1.65714129,,
5.79,29.01,61.6225,26.1257,8.31918649,,
6.66,29.81,49.7025,29.4578,0.12404484,,
7.72,38.58,2.9584,33.5176,25.62789376,,
9.45,51.51,214.6225,40.1435,129.1973223,,
11.35,60.77,571.6881,47.4205,178.2091503,,
11.45,51.31,208.8025,47.8035,12.29554225,,
14.21,60.65,565.9641,58.3743,5.17881049,,
15.19,62.1,637.0576,62.1277,0.00076729,,
,36.86,3847.0098,,381.0649357,,
